lat,lon,trend_1901_2023_C_decade,trend_1994_2023_C_decade
-22.5000,-112.5000,0.0469,-0.0208
-17.5000,-112.5000,0.0293,-0.1554
-12.5000,-112.5000,0.0357,-0.1637
-7.5000,-112.5000,0.0516,-0.0927
-2.5000,-112.5000,0.0608,-0.0450
2.5000,-112.5000,0.0692,0.0649
7.5000,-112.5000,0.0725,0.1052
12.5000,-112.5000,0.0724,0.1750
17.5000,-112.5000,0.0763,0.1767
22.5000,-112.5000,0.0915,0.1796
27.5000,-112.5000,0.0921,0.2071
32.5000,-112.5000,0.1107,0.2028
37.5000,-112.5000,0.1191,0.1385
42.5000,-112.5000,0.1018,0.0987
47.5000,-112.5000,0.1072,0.1260
52.5000,-112.5000,0.1369,0.2413
57.5000,-112.5000,0.1317,0.1893
62.5000,-112.5000,0.1316,0.0174
67.5000,-112.5000,0.1371,0.1501
72.5000,-112.5000,0.1337,0.3307
77.5000,-112.5000,0.2095,0.4111
82.5000,-112.5000,0.2955,0.4518
87.5000,-112.5000,0.2784,0.4766
-87.5000,-107.5000,0.2250,0.4264
-82.5000,-107.5000,0.2802,0.3966
-77.5000,-107.5000,0.2809,0.4002
-72.5000,-107.5000,0.2921,0.4416
-67.5000,-107.5000,-0.0059,0.1520
-62.5000,-107.5000,0.0729,-0.0158
-57.5000,-107.5000,0.0631,0.0071
-52.5000,-107.5000,0.0617,-0.0441
-47.5000,-107.5000,0.0671,-0.0218
-42.5000,-107.5000,0.0817,0.0635
-37.5000,-107.5000,0.0987,0.1781
-32.5000,-107.5000,0.0937,0.1630
-27.5000,-107.5000,0.0715,0.0486
-22.5000,-107.5000,0.0397,-0.0535
-17.5000,-107.5000,0.0302,-0.1545
-12.5000,-107.5000,0.0405,-0.1532
-7.5000,-107.5000,0.0536,-0.0659
-2.5000,-107.5000,0.0572,-0.0186
2.5000,-107.5000,0.0675,0.0716
7.5000,-107.5000,0.0716,0.1100
12.5000,-107.5000,0.0714,0.1636
17.5000,-107.5000,0.0658,0.1636
22.5000,-107.5000,0.0745,0.1705
27.5000,-107.5000,0.0783,0.1920
32.5000,-107.5000,0.0901,0.1466
37.5000,-107.5000,0.1039,0.1352
42.5000,-107.5000,0.0993,0.1005
47.5000,-107.5000,0.1240,0.0485
52.5000,-107.5000,0.1552,0.1386
57.5000,-107.5000,0.1400,0.0493
62.5000,-107.5000,0.1337,-0.0392
67.5000,-107.5000,0.1351,0.1366
72.5000,-107.5000,0.1563,0.2927
77.5000,-107.5000,0.1988,0.3689
82.5000,-107.5000,0.2741,0.4449
87.5000,-107.5000,0.2761,0.4680
-87.5000,-102.5000,0.2185,0.4131
-82.5000,-102.5000,0.2690,0.3901
-77.5000,-102.5000,0.2873,0.4186
-72.5000,-102.5000,0.3576,0.5548
-67.5000,-102.5000,0.0654,0.1705
-62.5000,-102.5000,0.0745,0.0257
-57.5000,-102.5000,0.0702,0.0345
-52.5000,-102.5000,0.0631,-0.0298
-47.5000,-102.5000,0.0688,-0.0210
-42.5000,-102.5000,0.0821,0.0943
-37.5000,-102.5000,0.0974,0.1728
-32.5000,-102.5000,0.0903,0.0994
-27.5000,-102.5000,0.0693,0.0195
-22.5000,-102.5000,0.0417,-0.0880
-17.5000,-102.5000,0.0370,-0.1740
-12.5000,-102.5000,0.0477,-0.1644
-7.5000,-102.5000,0.0584,-0.0835
-2.5000,-102.5000,0.0616,-0.0154
2.5000,-102.5000,0.0777,0.0891
7.5000,-102.5000,0.0794,0.1175
12.5000,-102.5000,0.0790,0.1810
17.5000,-102.5000,0.0744,0.1802
22.5000,-102.5000,0.0732,0.1106
27.5000,-102.5000,0.0759,0.1246
32.5000,-102.5000,0.0814,0.1164
37.5000,-102.5000,0.0933,0.1239
42.5000,-102.5000,0.1075,0.0544
47.5000,-102.5000,0.1330,0.1519
52.5000,-102.5000,0.1543,0.1031
57.5000,-102.5000,0.1430,-0.0360
62.5000,-102.5000,0.1355,-0.0191
67.5000,-102.5000,0.1466,0.1580
72.5000,-102.5000,0.2071,0.2893
77.5000,-102.5000,0.1951,0.3515
82.5000,-102.5000,0.2455,0.4375
87.5000,-102.5000,0.2731,0.4592
-87.5000,-97.5000,0.2165,0.4115
-82.5000,-97.5000,0.2484,0.3745
-77.5000,-97.5000,0.2598,0.4109
-72.5000,-97.5000,0.3121,0.5690
-67.5000,-97.5000,0.0945,0.1748
-62.5000,-97.5000,0.0798,0.0421
-57.5000,-97.5000,0.0725,0.0284
-52.5000,-97.5000,0.0634,-0.0429
-47.5000,-97.5000,0.0710,-0.0243
-42.5000,-97.5000,0.0810,0.0840
-37.5000,-97.5000,0.0919,0.1533
-32.5000,-97.5000,0.0830,0.0606
-27.5000,-97.5000,0.0672,-0.0097
-22.5000,-97.5000,0.0468,-0.1247
-17.5000,-97.5000,0.0429,-0.2061
-12.5000,-97.5000,0.0527,-0.1879
-7.5000,-97.5000,0.0639,-0.0921
-2.5000,-97.5000,0.0654,-0.0389
2.5000,-97.5000,0.0786,0.0569
7.5000,-97.5000,0.0861,0.1280
12.5000,-97.5000,0.0772,0.1495
17.5000,-97.5000,0.0866,0.2254
22.5000,-97.5000,0.0807,0.1825
27.5000,-97.5000,0.0812,0.1523
32.5000,-97.5000,0.0824,0.1717
37.5000,-97.5000,0.0928,0.1630
42.5000,-97.5000,0.1107,0.1390
47.5000,-97.5000,0.1260,0.1565
