# Title: February 2025 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-57.5,202.5,0.87,165
-57.5,207.5,0.63,149
-57.5,212.5,0.52,140
-57.5,217.5,0.49,141
-57.5,222.5,0.34,125
-57.5,227.5,0.29,125
-57.5,232.5,0.27,126
-57.5,237.5,0.18,121
-57.5,242.5,0.1,116
-57.5,247.5,0.08,114
-57.5,252.5,-0,105
-57.5,257.5,-0.07,96
-57.5,262.5,-0.09,91
-57.5,267.5,-0.14,88
-57.5,272.5,-0.16,81
-57.5,277.5,-0.15,77
-57.5,282.5,-0.17,72
-57.5,287.5,-0.16,64
-57.5,292.5,-0.11,67
-57.5,297.5,0.03,95
-57.5,302.5,0,95
-57.5,307.5,0.03,106
-57.5,312.5,0.12,130
-57.5,317.5,0.15,132
-57.5,322.5,0.13,125
-57.5,327.5,0.22,135
-57.5,332.5,0.23,146
-57.5,337.5,0.17,134
-57.5,342.5,0.22,138
-57.5,347.5,0.31,157
-57.5,352.5,0.4,166
-57.5,357.5,0.44,173
-52.5,2.5,0.2,154
-52.5,7.5,0.35,167
-52.5,12.5,0.44,174
-52.5,17.5,0.45,174
-52.5,22.5,0.47,173
-52.5,27.5,0.46,170
-52.5,32.5,0.4,170
-52.5,37.5,0.35,167
-52.5,42.5,0.28,167
-52.5,47.5,0.17,160
-52.5,52.5,0.12,154
-52.5,57.5,0.08,154
-52.5,62.5,0.1,154
-52.5,67.5,0.13,155
-52.5,72.5,0.15,157
-52.5,77.5,0.26,169
-52.5,82.5,0.31,170
-52.5,87.5,0.34,172
-52.5,92.5,0.39,172
-52.5,97.5,0.55,176
-52.5,102.5,0.66,176
-52.5,107.5,0.7,176
-52.5,112.5,0.73,176
-52.5,117.5,0.74,176
-52.5,122.5,0.58,175
-52.5,127.5,0.6,175
-52.5,132.5,0.54,174
-52.5,137.5,0.46,167
-52.5,142.5,0.5,163
-52.5,147.5,0.66,170
-52.5,152.5,0.73,169
-52.5,157.5,0.9,175
-52.5,162.5,1.02,175
-52.5,167.5,1.07,175
-52.5,172.5,1,175
-52.5,177.5,0.89,173
-52.5,182.5,0.88,173
-52.5,187.5,1.01,172
-52.5,192.5,1.12,173
-52.5,197.5,1.24,172
-52.5,202.5,1.25,173
-52.5,207.5,1.06,172
-52.5,212.5,0.88,170
-52.5,217.5,0.76,166
-52.5,222.5,0.53,154
-52.5,227.5,0.39,139
-52.5,232.5,0.3,135
-52.5,237.5,0.16,131
-52.5,242.5,0.04,122
-52.5,247.5,-0.16,103
-52.5,252.5,-0.3,92
-52.5,257.5,-0.24,94
-52.5,262.5,-0.14,108
-52.5,267.5,-0.09,109
-52.5,272.5,-0.07,100
-52.5,277.5,-0.1,90
-52.5,282.5,-0.21,66
-52.5,287.5,-0.53,31
-52.5,292.5,-0.3,59
-52.5,297.5,0.09,124
-52.5,302.5,0.14,139
-52.5,307.5,0.24,147
-52.5,312.5,0.31,158
-52.5,317.5,0.23,153
-52.5,322.5,0.12,141
-52.5,327.5,0.15,138
-52.5,332.5,0.05,128
-52.5,337.5,-0.03,111
-52.5,342.5,-0,110
-52.5,347.5,0.11,123
-52.5,352.5,0.14,135
-52.5,357.5,0.12,138
-47.5,2.5,-0.2,111
-47.5,7.5,-0,135
-47.5,12.5,0.2,153
-47.5,17.5,0.25,156
-47.5,22.5,0.45,160
-47.5,27.5,0.43,158
-47.5,32.5,0.21,155
-47.5,37.5,0.08,151
-47.5,42.5,-0.03,143
-47.5,47.5,-0.08,143
-47.5,52.5,0.01,147
-47.5,57.5,-0.14,143
-47.5,62.5,-0.11,142
-47.5,67.5,-0.11,137
-47.5,72.5,-0.1,137
-47.5,77.5,-0.03,138
-47.5,82.5,-0.08,139
-47.5,87.5,0.04,151
-47.5,92.5,0.33,172
-47.5,97.5,0.52,175
-47.5,102.5,0.5,173
-47.5,107.5,0.55,176
-47.5,112.5,0.6,176
-47.5,117.5,0.64,176
-47.5,122.5,0.58,176
-47.5,127.5,0.69,176
-47.5,132.5,0.71,175
-47.5,137.5,0.74,175
-47.5,142.5,0.89,175
-47.5,147.5,0.94,173
-47.5,152.5,0.86,172
-47.5,157.5,0.96,174
-47.5,162.5,1,173
-47.5,167.5,0.96,170
-47.5,172.5,0.9,172
-47.5,177.5,0.53,159
-47.5,182.5,0.4,149
-47.5,187.5,0.69,163
-47.5,192.5,0.92,167
-47.5,197.5,1.15,172
-47.5,202.5,1.39,173
-47.5,207.5,1.53,175
-47.5,212.5,1.53,175
-47.5,217.5,1.32,174
-47.5,222.5,1.12,171
-47.5,227.5,0.91,165
-47.5,232.5,0.69,159
-47.5,237.5,0.38,147
-47.5,242.5,0.05,128
-47.5,247.5,-0.41,90
-47.5,252.5,-0.58,71
-47.5,257.5,-0.49,76
-47.5,262.5,-0.3,98
-47.5,267.5,-0.08,113
-47.5,272.5,0.03,118
-47.5,277.5,0.01,115
